average;date;moneyPercent
6441;11.01.2010 10:31:00;0.0
6544;11.01.2010 12:14:00;0.22
6585;11.01.2010 12:55:00;0.27
6590;11.01.2010 13:00:00;0.33
6613;11.01.2010 13:23:00;0.39
6643;11.01.2010 13:53:00;0.45
7057;11.01.2010 20:47:00;0.51
7060;11.01.2010 20:50:00;0.54
8101;13.01.2010 10:31:00;1.33
8301;13.01.2010 13:51:00;1.67
8310;13.01.2010 14:00:00;1.62
8314;13.01.2010 14:04:00;1.61
8336;13.01.2010 14:26:00;1.64
8337;13.01.2010 14:27:00;1.62
8338;13.01.2010 14:28:00;1.58
8339;13.01.2010 14:29:00;1.6
8350;13.01.2010 14:40:00;1.62
8351;13.01.2010 14:41:00;1.62
8354;13.01.2010 14:44:00;1.67
8366;13.01.2010 14:56:00;1.73
8369;13.01.2010 14:59:00;1.75
8378;13.01.2010 15:08:00;1.82
8390;13.01.2010 15:20:00;1.9
8396;13.01.2010 15:26:00;1.93
8410;13.01.2010 15:40:00;1.96
8483;13.01.2010 16:53:00;1.97
8516;13.01.2010 17:26:00;2.01
8520;13.01.2010 17:30:00;2.05
8522;13.01.2010 17:32:00;2.03
8523;13.01.2010 17:33:00;2.03
8527;13.01.2010 17:37:00;2.13
8931;14.01.2010 10:31:00;2.63
8932;14.01.2010 10:32:00;2.62
8951;14.01.2010 10:51:00;2.65
8952;14.01.2010 10:52:00;2.65
8959;14.01.2010 10:59:00;2.65
8960;14.01.2010 11:00:00;2.65
8961;14.01.2010 11:01:00;2.68
8963;14.01.2010 11:03:00;2.68
8973;14.01.2010 11:13:00;2.71
8984;14.01.2010 11:24:00;2.71
8987;14.01.2010 11:27:00;2.73
8994;14.01.2010 11:34:00;2.73
8999;14.01.2010 11:39:00;2.77
9012;14.01.2010 11:52:00;2.77
9026;14.01.2010 12:06:00;2.81
9029;14.01.2010 12:09:00;2.8
9161;14.01.2010 14:21:00;2.83
9163;14.01.2010 14:23:00;2.83
9164;14.01.2010 14:24:00;2.82
9166;14.01.2010 14:26:00;2.81
9167;14.01.2010 14:27:00;2.83
9174;14.01.2010 14:34:00;2.83
9175;14.01.2010 14:35:00;2.83
9184;14.01.2010 14:44:00;2.83
9207;14.01.2010 15:07:00;2.86
9208;14.01.2010 15:08:00;2.86
9264;14.01.2010 16:04:00;2.93
9267;14.01.2010 16:07:00;2.93
9268;14.01.2010 16:08:00;2.93
9286;14.01.2010 16:26:00;2.92
9295;14.01.2010 16:35:00;2.92
9296;14.01.2010 16:36:00;2.92
9297;14.01.2010 16:37:00;2.94
9300;14.01.2010 16:40:00;2.94
9301;14.01.2010 16:41:00;2.92
9302;14.01.2010 16:42:00;2.92
9304;14.01.2010 16:44:00;2.97
9310;14.01.2010 16:50:00;2.97
9311;14.01.2010 16:51:00;3.0
9316;14.01.2010 16:56:00;3.0
9317;14.01.2010 16:57:00;3.02
9320;14.01.2010 17:00:00;3.02
9322;14.01.2010 17:02:00;3.04
9323;14.01.2010 17:03:00;3.04
9347;14.01.2010 17:27:00;3.05
9353;14.01.2010 17:33:00;3.05
9356;14.01.2010 17:36:00;3.07
9357;14.01.2010 17:37:00;3.07
9393;14.01.2010 18:13:00;3.07
9396;14.01.2010 18:16:00;3.07
9422;14.01.2010 18:42:00;3.17
9424;14.01.2010 18:44:00;3.17
9612;14.01.2010 21:52:00;3.25
9616;14.01.2010 21:56:00;3.25
9617;14.01.2010 21:57:00;3.23
9618;14.01.2010 21:58:00;3.23
9621;14.01.2010 22:01:00;3.23
9622;14.01.2010 22:02:00;3.23
9764;15.01.2010 10:34:00;2.98
9768;15.01.2010 10:38:00;2.98
9769;15.01.2010 10:39:00;2.99
9773;15.01.2010 10:43:00;2.99
9791;15.01.2010 11:01:00;3.02
9793;15.01.2010 11:03:00;3.02
9848;15.01.2010 11:58:00;3.17
9853;15.01.2010 12:03:00;3.17
9856;15.01.2010 12:06:00;3.18
9858;15.01.2010 12:08:00;3.18
9868;15.01.2010 12:18:00;3.21
9870;15.01.2010 12:20:00;3.21
9872;15.01.2010 12:22:00;3.21
9873;15.01.2010 12:23:00;3.21
9875;15.01.2010 12:25:00;3.24
9884;15.01.2010 12:34:00;3.24
9889;15.01.2010 12:39:00;3.29
9900;15.01.2010 12:50:00;3.29
9913;15.01.2010 13:03:00;3.31
9915;15.01.2010 13:05:00;3.31
9918;15.01.2010 13:08:00;3.35
9930;15.01.2010 13:20:00;3.35
9931;15.01.2010 13:21:00;3.35
9951;15.01.2010 13:41:00;3.34
9954;15.01.2010 13:44:00;3.38
9976;15.01.2010 14:06:00;3.38
